Dataset,d (qubits),Kernel,Feature map,Depth,Entanglement,Centered?,Delta test acc,Delta offdiag p50,Delta offdiag p95,Delta eff rank,CI95 Delta test acc,CI95 Delta offdiag p50,CI95 Delta offdiag p95,CI95 Delta eff rank,Baseline test acc,Baseline offdiag p50,Baseline eff rank
breast_cancer,4,local,zz_manual_canonical,1,ring,False,-0.011695906432748537,0.21069659275710434,0.1635528423751521,-17.636085652787955,,,,,0.7046783625730995,0.06288156068754025,85.19904559501141
breast_cancer,6,local,zz_manual_canonical,1,ring,False,0.0029239766081871066,0.2702482412272413,0.3677322848353045,-242.90159265119058,,,,,0.7134502923976608,0.014320021545255792,315.7635031155659
breast_cancer,8,local,zz_manual_canonical,1,ring,False,-0.01754385964912286,0.29005176855756387,0.43590167184625,-400.8043310146081,,,,,0.716374269005848,0.0035398424060346626,475.80781929708183
breast_cancer,10,local,zz_manual_canonical,1,ring,False,0.0,0.29720514396231335,0.4552929444282582,-460.86787964729,,,,,0.672514619883041,0.0008705274985731587,540.1076779347472
breast_cancer,12,local,zz_manual_canonical,1,ring,False,0.06140350877192979,0.30189539456947817,0.46072236866957567,-477.17324121362657,,,,,0.6111111111111112,0.0002150921374751646,559.3652398977001
breast_cancer,14,local,zz_manual_canonical,1,ring,False,0.04385964912280704,0.3026007322545386,0.45696673360536355,-479.5637196586571,,,,,0.6023391812865497,5.08870965721238e-05,566.1369380016807
breast_cancer,16,local,zz_manual_canonical,1,ring,False,0.0964912280701754,0.3043234745214207,0.45728127411574754,-480.0966412212186,,,,,0.6023391812865497,1.2375865302840635e-05,568.0472022456012
breast_cancer,18,local,zz_manual_canonical,1,ring,False,0.05555555555555558,0.30748055680872205,0.4609976636706411,-480.0706472151912,,,,,0.6023391812865497,3.1304648162485595e-06,568.6110847128194
breast_cancer,20,local,zz_manual_canonical,1,ring,False,0.08479532163742687,0.3079299421717823,0.45722131353831086,-477.9449984919277,,,,,0.6023391812865497,7.782231955290666e-07,568.8735826460576
breast_cancer,4,multiscale,zz_manual_canonical,1,ring,False,0.011695906432748426,0.15280930776228893,0.13397022139757225,-35.41028899405138,,,,,0.7046783625730995,0.06288156068754025,85.19904559501141
